,"Unnamed: 0","ID","Tag","Name in English","Name in French","Name in Spanish","Countries","Country codes alpha 3","ISO639-3 codes","Degree of endangerment","Alternate names","Name in the language","Number of speakers","Sources","Latitude","Longitude","Official Language","Description of the location","Description","SearchTerm"
32,2543,1011,"id1011","Alemannic","alémanique","alemánico","Germany, Austria, France, Italy, Liechtenstein, Switzerland","DEU, AUT, FRA, ITA, LIE, CHE","gsw, swg, wae","Vulnerable","Alsatian, Swabian, Walser (in English); alsacien (in French)",,,"Werner König: dtv-Atlas Deutsche Sprache. 13. durchgesehene Auflage. München: Deutscher Taschenbuch Verlag, 2001.",47.2792,7.6904,,"the Germanic-speaking part of Switzerland; central and southern Baden-Württemberg and the Swabia region in Bavaria, Germany; the state of Vorarlberg and parts of the Reutte district in Tyrol, Austria; all of Liechtenstein: entire country; most of Alsace, France; parts of the Aosta Valley and northern Piedmont, Italy; ‘Alemán Coloneiro’ spoken in Colonia Tovar, Venezuela, is based on Alemannic","Alemannic (German:  Alemannisch ) is a group of dialects of the Upper German branch of the Germanic language family. The name derives from the ancient Germanic alliance of tribes known as the Alemanni (""all men""). ","Alemannic German"
33,2547,333,"id333","Auvergnat","auvergnat","auvernés","France","FRA","oci","Severely endangered","occitan auvergnat; auvernhàs","auvernhat",,,45.1278,3.1311,,"the departments of Cantal (except Aurillac region), Haute-Loire, and Puy-de-Dôme, and extending to the Gannat region in Allier, the Saint-Bonnet-le-Château region in Loire, and the western border areas in Ardèche; the original ISO code [auv] for Auvergnat has been retired on false grounds","Auvergnat (French name) or Auvernhat (native name) is an idiom spoken in Auvergne. For some linguists it's one of several varieties of the Occitan language spoken in Auvergne, which is a historical province in the central part of France. For others it's an own romance language.","Auvergnat dialect"
34,2558,1521,"id1521","Burgundian","bourguignon","borgoñón","France","FRA","fra","Severely endangered","Morvan; morvandiau; bourguignon-morvandiau",,,,47.2344,4.2517,,"Bourgogne; a regional language not recognized by the SIL","The Burgundian language, also known by French names Bourguignon-morvandiau, Bourguignon, and Morvandiau, is an Oïl language spoken in Burgundy and particularly in the Morvan area of the region.","Burgundian language"
35,2565,1520,"id1520","Champenois","champenois","champañés","Belgium, France","BEL, FRA","fra","Severely endangered",,,,,48.6474,4.3725,,"Champagne, France, and adjacent regions of Belgium; a regional language not recognized by the SIL","Champenois (champaignat) is a Romance language of the langues d'oïl language family spoken by a minority of people in Champagne and Île-de-France provinces in France, as well as in a handful of towns in southern Belgium (chiefly the municipality of Vresse-sur-Semois). While it is classified as a regional language of France, it also has recognized status as a regional language in the Wallonia region of Belgium. Champenois is considered an endangered language by the UNESCO Red Book of Endangered Languages.","Champenois language"
36,2584,1522,"id1522","Franc-Comtois","franc-comtois","franco-condado","France, Switzerland","FRA, CHE","fra","Severely endangered",,,,,47.2829,6.5093,,"the northern part of the Franche-Comté region and Sundgau in the Alsace region, France; the Canton of Jura and the Bernese Jura region in the Canton of Berne, Switzerland; a regional language not recognized by the SIL","Franc-Comtois (Frainc-Comtou), or Jurassien, is an Oïl language spoken in the Franche-Comté region of France and in the Canton of Jura and Bernese Jura in Switzerland.","Frainc Comtou dialect"
37,2617,1519,"id1519","Lorrain","lorrain","loreno","Belgium, France","BEL, FRA","fra","Severely endangered",,,,,48.8357,6.0644,,"Lorraine, France, and Gaume in Belgium; a regional language not recognized by the SIL","Lorrain is a dialect (often referred to as patois) spoken by a minority of people in Lorraine in France, small parts of Alsace and in Gaume in Belgium. It is a langue d'oïl. It is classified as a regional language of France and has the recognised status of a regional language of Wallonia, where it is known as Gaumais.","Lorrain language"
38,2645,392,"id392","Norman","normand","normando","France","FRA","nrn","Severely endangered",,,,,49.081,-0.6591,,"the regions of Upper Normandy (Haute-Normandie) and Lower Normandy (Basse-Normandie); a regional language not recognized by the SIL","Norman (Normaund, French: Normand, Guernésiais: Normand, Jèrriais: Nouormand) is a Romance language which can be classified as one of the Oïl languages along with Picard and Walloon. The name Norman-French is sometimes used to describe not only the Norman language, but also the administrative languages of Anglo-Norman and Law French used in England. For the most part, the written forms of Norman and modern French are intercomprehensible.","Norman language"
39,2660,402,"id402","Poitevin-Saintongeais","poitevin-saintongeais","poitevino-santongés","France","FRA","fra","Severely endangered","parlanjhe",,,"www.arantele.org, www.dizou.com
Michel Gautier : Grammaire du poitevin-saintongeais (Geste éditions, 1993)
Liliane Jagueneau : Le parlanjhe en 30 questions (Geste éditions, 1999)",46.0579,-0.5493,,"the region of Poitou-Charentes and the department of Vendée in Pays de la Loire region as well as northern Gironde in Aquitaine region; a regional language not recognized by the SIL","Poitevin-Saintongeais (or locally Parlanjhe) is an older classification for the two languages/dialects now officially (in France at least) classified separately as Poitevin and Saintongeais. This classification is a subgroup of the Romance languages, and the Oïl language group. The dialects of this language are spoken in the regions of Poitou and Saintonge.","Poitevin Saintongeais"
40,2666,1478,"id1478","Rhenish Franconian","francique rhénan","franconio renano","Germany, France","DEU, FRA","pfl","Vulnerable","dialects: Lothringian, Palatinate German, Hessian, South Franconian",,,,49.4467,8.2067,,"most parts of Rhineland-Palatinate and Hesse, the east and south of Saarland, the north of Baden-Württemberg, the west of the Lower Franconia region of Bavaria and the Wittgenstein area in North Rhine-Westphalia, Germany; the east of the département of Moselle in the Lorraine region, and the north of Bas-Rhin in Alsace, France; also spoken in émigré communities in the Americas","Rhine Franconian (German:  Rheinfränkisch ), or Rhenish Franconian, is a dialect family of West Central German. It comprises the German dialects spoken across the western regions of the states of Saarland, Rhineland-Palatinate, northwest Baden-Wurttemberg, and Hesse in Germany. It is also spoken in northeast France, in the eastern part of the département of Moselle in the Lorraine region, and in the north-west part of Bas-Rhin in Alsace.","Rhine Franconian dialects"
41,140,332,"id332","Asturian-Leonese","asturien-léonais","astur-leonés","Spain, Portugal","ESP, PRT","ast, ext, mwl","Definitely endangered","Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect)","astur-leonés",150000,,42.7954,-5.6689,,"Asturias and northwestern Castile and León, Cantabria and Extremadura, Spain; and the municipalities of Miranda do Douro and Vimioso in north-eastern Portugal","Astur-Leonese is a group of mutually intelligible Romance dialects of the West Iberian branch, including:
Asturian, asturianu or bable, encompassing the vernaculars spoken in the Spanish province of Asturias, except the westernmost ones, which are more often considered dialects of Galician.","Astur Leonese languages"
42,511,330,"id330","Aragonese","aragonais","aragonés","Spain","ESP","arg","Definitely endangered",,,10000,"Nagore, F., ""La situation sociolinguistique de l'aragonais"", en Boyer, H. et Lagarde, Ch. (dir.), L'Espagne et ses langues, Paris, L'Harmattan, 2002, pp. 169-186.",42.2935,-0.4394,,"the high valleys of the Pyrenees, notably Aragon River (Somontano), Sobrarbe and Ribagorza, in the northern part of the Huesca (Uesca) region in the northeast of Aragón, main towns being Graus and Sabiñánigo (Samianigo)","Aragonese (/ˌærəɡɒˈniːz/; aragonés [aɾaɣoˈnes] in Aragonese) is a Romance language spoken in several dialects by 10,000 to 30,000 people in the Pyrenees valleys of Aragon, Spain, primarily in the comarcas of Somontano de Barbastro, Jacetania, Alto Gállego, Sobrarbe, and Ribagorza/Ribagorça. It is the only modern language which survived from medieval Navarro-Aragonese in a form distinctly different from Spanish. Informally known as fabla (""talk"" or ""speech""), Aragonese is also commonly referred to by the names of its local dialects such as cheso (from Valle de Hecho) or patués (from the Benasque Valley).","Aragonese language"
43,2355,4,"id4","Guanche",,,"Spain","ESP",,"Extinct",,,0,,27.9264,-15.6774,,"the Canary Islands","The Guanche language, also known as Amazigh, is an extinct Berber language that was spoken by the Guanches of the Canary Islands until the 17th century or possibly later. It died out as the Guanche ethnic group was assimilated into the dominant Spanish culture. The Guanche language is known today through sentences and individual words that were recorded by early geographers, as well as through several place-names and Guanche words that were retained in the Canary Islanders' Spanish.","Guanche language"
44,2436,390,"id390","Mozarabic",,,"Spain","ESP",,"Extinct",,,0,,37.4574,-3.988,,"southern Spain","Mozarabic, more accurately Andalusi Romance, was a continuum of closely related Romance dialects spoken in the Muslim-controlled areas of the Iberian Peninsula, known as Al-Andalus. Mozarabic descends from Late Latin and early Romance dialects spoken in the Hispania from the 5th to the 8th centuries and was spoken until the 13th century. This set of Latin dialects came to be called the Mozarabic language by 19th century Spanish scholars who studied medieval Al-Andalus, though there never was a common language standard.","Mozarabic language"
45,326,393,"id393","North Saami","saami nord","saamí septentrional","Finland, Norway, Russian Federation, Sweden","FIN, NOR, RUS, SWE","sme","Definitely endangered","sámegiella (North Saami)","davvisámegiella",30000,,68.9099,22.9394,,"most parts of Finnmark and Troms provinces and the northernmost corner of Nordland Province, Norway; Kiruna and Pajala counties and parts of Gällivare and other adjacent counties in Norrbotten Province (Torne Lappmark) as well as, because of resettlements in the twentieth century, also in more southerly regions, Sweden; Utsjoki and Enontekiö counties, western parts of Inari County, and Vuotso region of Sodankylä County in Lapland Province, Finland; formerly also Petsamo region in Murmansk Province, the Russian Federation","Northern or North Sami (davvisámegiella; disapproved exonym Lappish or Lapp), sometimes also simply referred to as Sami, is the most widely spoken of all Sami languages. The area where Northern Sami is spoken covers the northern parts of Norway, Sweden and Finland. The number of Northern Sami speakers is estimated to be somewhere between 15,000 and 25,000.","Northern Sami"
46,518,344,"id344","Dalecarlian","dalécarlien","dalecarliano","Sweden","SWE","swe","Definitely endangered","“Elfdalian” (the core dialect spoken in Älvdalen)",,10000,"Yair Sapir: Elfdalian, the Vernacular of Övdaln [2004]. http://www.nordiska.uu.se/arkiv/konferenser/alvdalska/konferensbidrag/Sapir.pdf",61.2385,14.0295,,"the central parts of Dalarna Province, with core area in the south of Älvdalen County; the original ISO code [dlc] for Dalecarlian has been retired on false grounds","Dalecarlian (Dalmål in vernacular and Swedish) is a group of dialects or unofficial languages spoken in Dalecarlia (Dalarna), Sweden. They are mutually unintelligible with Swedish. The most well known outside the area is Elfdalian.","Dalecarlian dialects"
47,711,1597,"id1597","Gutnish","gutnisk","gotlandiano","Sweden","SWE","swe","Definitely endangered",,,5000,,57.3027,18.5284,,"the south-east coast from Alskog till Burs of the main island of Gotland and, at least until recently, some parts of Fårö island off the main island; a regional language not recognized by the SIL","Gutnish, or Gotlandic, is a Scandinavian language spoken on the island of Gotland in Sweden – generally considered to be a dialect of Swedish. Most Gotlanders speak Standard Swedish and contemporary Gutnish has been significantly influenced by it. It is an open issue whether the traditional Gutnish (sometimes called Older Gutnish) dialect, which was close to Old Gutnish, should be considered an independent language or a dialect of Swedish.","Gutnish"
48,976,386,"id386","Lule Saami","lule saami","saamí de Lule","Norway, Sweden","NOR, SWE","smj","Severely endangered",,"julevsábme",2000,"Pekka Sammallahti: The Saami languages: an introduction. Kárášjohka: Davvi Girji, 1998.",67.272,17.7978,,"Jokkmokk County and parts of Gällivare and other adjacent counties in Norrbotten Province (Lule Lappmark), Sweden; the Tysfjord region in northern Nordland Province, Norway","Lule Sami (julevsámegiella) is a Uralic, Sami language spoken in Lule Lappmark, i.e. around the Lule River, Sweden and in the northern parts of Nordland county in Norway, especially Tysfjord municipality, where Lule Sami is an official language. It is written in the Latin script, having an official alphabet.","Lule Sami language"
49,1403,414,"id414","South Saami","saami méridional","saamí meridional","Norway, Sweden","NOR, SWE","sma","Severely endangered",,"åarjelsaemien gïele",500,,64.2063,13.4802,,"Vilhelmina County and parts of neigbouring counties in Västerbotten Province (Åsele Lappmark), Strömsund, Krokom, Åre, Berg and Härjedalen counties in Jämtland Province, and Idre region in Älvdalen County in Dalarna Province, Sweden; southern parts (up till Rana) in Nordland Province, many parts of Nord-Trøndelag and Sør-Trøndelag provinces and Engerdal region in Hedmark Province, Norway","Southern Sami (Åarjelsaemien gïele) is the southwestern-most of the Sami languages. It is a seriously endangered language; the strongholds of this language are the municipalities of Snåsa, Røyrvik, Røros and Hattfjelldal in Norway.","Southern Sami language"
50,2038,400,"id400","Pite Saami","pite saami","saamí de Pite","Norway, Sweden","NOR, SWE","sje","Critically endangered","Arjeplog Saami",,20,"Pekka Sammallahti: The Saami languages: an introduction. Kárášjohka: Davvi Girji, 1998.",66.0447,17.8857,,"originally most parts of Arjeplog County in Norrbotten Province (Pite Lappmark) in Sweden and adjacent area in Norway","Pite Sami, also known as Arjeplog Sami, is a Sami language traditionally spoken in Sweden and Norway. It is a critically endangered language that has only about 25–50 native speakers left and is now only spoken on the Swedish side of the border along the Pite River in the north of Arjeplog and Arvidsjaur and in the mountainous areas of the Arjeplog municipality.","Pite Sami language"
51,2042,419,"id419","Ume Saami","saami ume","saamí de Ume","Sweden","SWE","sju","Critically endangered",,,20,"Pekka Sammallahti: The Saami languages: an introduction. Kárášjohka: Davvi Girji, 1998.",65.1091,18.2153,,"Arvidsjaur County and the southeastern corner of Arjeplog County in Norrbotten Province (Pite Lappmark) and Malå and Sorsele counties and the northern Tärna region in Storuman County in Västerbotten Province (Lycksele Lappmark), Sweden; formerly also Rana County in Nordland Province, Norway","Ume Sami is a Sami language spoken in Sweden and (formerly) in Norway. It is a moribund language with only about 10 native speakers left which used to be spoken mainly along the Ume River in the south of present-day Arjeplog, in Sorsele and Arvidsjaur.","Ume Sami language"
52,2673,409,"id409","Scanian","scanien","escaniano","Denmark, Sweden","DNK, SWE","swe","Vulnerable","Bornholmian (dialect in Denmark)",,,,55.724,13.6614,,"the regions of Scania, Halland and Blekinge, Sweden; Bornholm island, Denmark; the original ISO code [scy] for Scanian has been retired on false grounds","Scanian ( skånska ) is a closely related group of South Swedish dialects spoken in the province of Scania in southern Sweden. Scanian formed part of the old Scandinavian dialect continuum and are by most historical linguists considered to be an East Danish dialect group, but due to the modern-era influence from Standard Swedish in the region and because traditional dialectology in the Scandinavian countries normally has not considered isoglosses that cut across state borders, the Scanian dialects have normally been treated as a South Swedish dialect group in Swedish dialect research.","Scanian dialect"
53,2,383,"id383","Low Saxon","bas-saxon","bajo sajón","Germany, Denmark, Netherlands, Poland, Russian Federation","DEU, DNK, NLD, POL, RUS","act, drt, frs, gos, nds, sdz, stl, twd, vel, wep","Vulnerable","Low German, Niedersächsisch, Nedersaksisch, Niederdeutsch, Plattdeutsch ","Neddersassisch",4800000,,53.4029,10.3601,,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere","Low German or Low Saxon (Low German: Plattdüütsch, Nedderdüütsch, Platduuts, Nedderduuts; German: Plattdeutsch, Niederdeutsche Dialekte; Dutch: Nedersaksisch, or Nederduits in the wider sense) is a West Germanic language spoken mainly in northern Germany and the eastern part of the Netherlands. It is descended from Old Saxon in its earliest form. As an Ingvaeonic language, Low German is quite distinct from the Irminonic (High German) languages like Standard German.","Low German"
54,8,1020,"id1020","Limburgian-Ripuarian","francique ripuaire -limbourgeois","limburgués-ripuarino","Germany, Belgium, Netherlands","DEU, BEL, NLD","ksh, lim","Vulnerable","Colognian (dialect; in German: Kölsch)",,2600000,,50.7781,6.0864,,"Limburg provinces in Belgium and the Netherlands and Rhineland in Germany","Limburgish (Limburgish: Lèmburgs Dutch: Limburgs [ˈlɪmbɵrxs], German: Limburgisch [ˈlɪmbʊʁɡɪʃ], French: Limbourgeois [lɛ̃buʁʒwa]), also called Limburgian or Limburgic, is a group of East Low Franconian varieties spoken in the Limburg and Rhineland regions, along the Dutch–Belgian–German border. The area in which it is spoken roughly fits within a wide circle from Venlo to Düsseldorf to Aachen to Maastricht to Tienen and back to Venlo. In some parts of this area it is generally used as the colloquial language in daily speech.","Languages of the Netherlands"
55,406,384,"id384","Sorbian","sorbien","sorbio","Germany","DEU","dsb, hsb","Definitely endangered","Lusatian; Wendish",,19500,"Gunter Spiess: Niedersorbisch; Tadeusz Lewaszkiewicz: Obersorbisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 343–354.",51.5001,14.4744,,"Lusatia (Lausitz [Łužica or Łužyca]) region around Cottbus (Chośebuz) and in the Spreewald (Błota) area in Brandenburg (lower Lusatia) and in and around Bautzen (Budyšin) in Saxony (upper Lusatia); two literary standards Lower Sorbian and Upper Sorbian","The Sorbian languages (Upper Sorbian: Serbsce; Lower Sorbian: Serbski) are two closely related languages spoken by the Sorbs, a Slavic minority in the Lusatia region of eastern Germany. They are classified under the West Slavic branch of the Indo-European languages. Historically the languages have also been known as Wendish or Lusatian.","Sorbian languages"
56,534,394,"id394","North Frisian","frison du nord","frisón septentrional","Germany","DEU","frr","Severely endangered",,,10000,,54.7341,8.7478,,"western coast of Schleswig north of Husum including the Halligen Islands and the adjacent islands of Föhr, Amrum, Sylt and Helgoland","North Frisian is a minority language of Germany, spoken by about 30,000 people in North Frisia. The language is part of the larger group of the West Germanic Frisian languages.","North Frisian language"
57,1208,346,"id346","Saterlandic","frison oriental","frisón oriental","Germany","DEU","stq","Severely endangered","Sater Frisian; East Frisian",,1000,,53.1059,7.6787,,"Strücklingen (Strukelje), Ramsloh (Romelse) and Scharrel (Schäddel) in Saterland region, Lower Saxony; till the early twentieth century also on the island of Wangerooge","Saterland Frisian, also known as Sater Frisian or Saterlandic (Seeltersk), is the last living dialect of the East Frisian language. It is closely related to the other Frisian languages—North Frisian, which, like Saterland Frisian, is spoken in Germany, and West Frisian, which is spoken in the Netherlands.","Saterland Frisian language"
58,2470,403,"id403","Polabian",,,"Germany","DEU",,"Extinct",,,0,"Ewa Rzetelska-Feleszko: Polabisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 363–366.",53.094,11.3461,,"the Elbe River basin in northeastern Germany, last in Altmark in the north of Saxony-Anhalt and in south-western Mecklenburg","The Polabian language is an extinct West Slavic language that was spoken by the Polabian Slavs (German: Wenden) in present-day northeastern Germany around the Elbe (Labe in Slavic) river, from which derives its name (""po Labe"" - on the Elbe). It was spoken approximately until the mid-18th century, when it was superseded by Low German, in the areas of Mecklenburg-West Pomerania, central Brandenburg (Mittelmark) and eastern Saxony-Anhalt (Wittenberg), as well as in eastern parts of Lower Saxony (Wendland) and Schleswig-Holstein (Ostholstein and Lauenburg). In the south it bordered on the Sorbian language area in Lusatia.","Polabian language"
59,2551,1019,"id1019","Bavarian","bavarois","bávaro","Germany, Austria, Hungary, Italy, Switzerland, Czech Republic","DEU, AUT, HUN, ITA, CHE, CZE","bar","Vulnerable",,,,"http://www.phil.uni-passau.de/die-fakultaet/lehrstuehle-professuren/germanistik/deutschesprachwissenschaft/forschung/sprachraumforschung/sbub.html ",48.4146,12.6123,,"Upper Bavaria, Lower Bavaria and the Upper Palatinate in Bavaria, Germany; all of Austria except the state of Vorarlberg and parts of the Reutte district in Tyrol; the village of Samnaun in Graubünden, Switzerland; the province of South Tyrol, Italy","Bavarian (Austro-Bavarian: Boarisch [ˈbɔɑrɪʃ]; German: Bairisch [ˈbaɪ̯ʀɪʃ]; Hungarian: bajor), is a major group of Upper German varieties spoken in the southeast of the German language area, largely covered by Bavaria and Austria. It forms a continuum of more or less mutually intelligible local and regional variants.","Bavarian language"
60,2575,1596,"id1596","East Franconian","francique oriental","franconio oriental","Germany, Czech Republic","DEU, CZE","vmf","Vulnerable","Ostfränkisch (in German); Franconian (colloquial); dialects: Main Franconian (Mainfränkisch), Upper Franconian (Oberfränkisch)",,,"http://vmf.i-iter.org/",50.0571,10.7336,,"Franconia region in northern Bavaria and southern Thuringia, Germany; formerly also in a small area north of Cheb (Eger), Czech Republic; both the region and the classification in the Ethnologue are incorrect","East Franconian (German: Ostfränkisch), usually referred to as Franconian (Fränkisch) in German, is a dialect which is spoken in Franconia, the northern part of the federal state of Bavaria and other areas in Germany around Nuremberg, Bamberg, Coburg, Würzburg, Hof, Bayreuth, Meiningen, Bad Mergentheim, and Crailsheim. The major subgroups are Unterostfränkisch (spoken in Lower Franconia and southern Thuringia), Oberostfränkisch (spoken in Upper and Middle Franconia) and Südostfränkisch (spoken in some parts of Middle Franconia and Hohenlohe).","East Franconian German"
61,2680,672,"id672","South Jutish","jute méridional","juto meridional","Germany, Denmark","DEU, DNK","jut","Definitely endangered","South Jutlandic",,,,54.8497,9.3081,,"Schleswig on both sides of Danish-German border","South Jutlandic or South Jutish (South Jutish: Synnejysk; Danish: Sønderjysk; German: Südjütisch or Plattdänisch) is a dialect of the Danish language. South Jutlandic is spoken in Southern Jutland (Sønderjylland) (also called Schleswig or Slesvig) on both sides of the border between Denmark and Germany. Variants of the dialect include Western and Eastern South Jutlandic (including Alsisk).","South Jutlandic"
62,357,396,"id396","Olonetsian","olonetsien","olonetsiano","Finland, Russian Federation","FIN, RUS","olo","Definitely endangered","Livvi",,25000,"Eberhard Winkler: Karelisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 667–672.",61.1273,32.8765,,"Olonets County (except the eastern corner), the western parts of Pryazha County and the southwestern part of Kondopoga County of the Republic of Karelia, the Russian Federation; in Finland, Olonetsian is spoken by people evacuated in 1940 and 1944 from former Finnish territories including Salmi and Impilahti counties, currently the eastern parts of Pitkyaranta (Pitkäranta) County and the southern corner of Suoyarvi (Suojärvi) County in the Republic of Karelia","Livvi-Karelian (Alternate names: Livvi, Livvikovian, Olonets, Southern Olonetsian, Karelian; Russian: ливвиковский язык) is a Finnic language of the Uralic family spoken by Olonets Karelians (self-appellation livvi, livgilaizet), traditionally inhabiting the area between Ladoga and Onega lakes, northward of Svir River. The name ""Olonets Karelians"" is derived from the territory inhabited, Olonets Krai, named after the town of Olonets, named after the Olonka River.","Livvi Karelian language"
63,393,327,"id327","Karelian (Karelia)","carélien (Carélie)","carelio (Carelia)","Finland, Russian Federation","FIN, RUS","krl","Definitely endangered",,,20000,"Eberhard Winkler: Karelisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 667–672.",63.0474,33.4616,,"Loukhi, Kem’, Kalevala and Muyezerskiy counties, the western parts of Belomorsk, Segezha and Medvezh’yegorsk counties, the southwestern part of Kondopoga County and the Porosozero region of Suoyarvi (Suojärvi) County of the Republic of Karelia, the Russian Federation; in Finland, Karelian is spoken by people evacuated in 1940 and 1944 from former Finnish territories including Suojärvi, Suistamo and Korpiselkä counties, currently the central parts of Suoyarvi (Suojärvi) County in the Republic of Karelia, and in two border villages in Suomussalmi County in Oulu Province","Karelia (Karelian, Finnish and Estonian: Karjala; Russian: Карелия, Kareliya; Swedish: Karelen), the land of the Karelian peoples, is an area in Northern Europe of historical significance for Finland, Russia, and Sweden. It is currently divided between the Russian Republic of Karelia, the Russian Leningrad Oblast, and Finland (the regions of South Karelia and North Karelia).","Karelia"
64,1463,359,"id359","Inari Saami","saami inari","saamí de Inari","Finland","FIN","smn","Severely endangered",,"anarâškielâ",400,,68.8446,27.2817,,"central Inari County of Lapland Province","Inari Sámi (anarâškielâ) is a Sami language spoken by the Inari Sami of Finland. It has approximately 300 speakers, the majority of whom are middle-aged or older and live in the municipality of Inari. According to the Sami Parliament of Finland, 269 persons used Inari Sami as their first language.","Inari Sami language"
65,1551,412,"id412","Skolt Saami","saami skolt","saamí de Skolt","Finland, Norway, Russian Federation","FIN, NOR, RUS","sms","Severely endangered",,"sää´mǩiõll",300,,69.5333,28.6269,,"Sevettijärvi region in Inari County in Lapland Province, Finland, mainly by people evacuated from former Finnish territory of Petsamo, now Pechenga County in Murmansk Province, the Russian Federation; earlier also in the western parts of Kola County in western Murmansk Province, from where the speakers were translocated to Lovozero, the centre of Lovozero County; formerly also easternmost Finnmark Province of Norway","Skolt Sami (sääʹmǩiõll 'the Saami language' or nuõrttsääʹmǩiõll if a distinction needs to be made between it and the other Saami languages) is a Uralic, Sami language spoken by approximately 400 speakers in Finland, mainly in Sevettijärvi, and approximately 20–30 speakers of the Njuõʹttjäuʹrr (Notozero) dialect in an area surrounding Lake Lovozero in Russia. Skolt Sami also used to be spoken in the Neiden area of Norway. It is written using a Roman orthography that was made official in 1973.","Skolt Sami language"
66,2386,371,"id371","Kemi Saami",,,"Finland","FIN",,"Extinct","“Kemi Sami” (outdated spelling)",,0,,67.0631,27.6635,,"Sodankylä and Kuolajärvi (Salla) counties in Lapland Province","Kemi Sami was a Sami language that was originally spoken in the southernmost district of Finnish Lapland as far south as the Sami siidas around Kuusamo. A complex of local variants which had a distinct identity from other Sami dialects, but existed in a linguistic continuum between Inari Sami and Skolt Sami (some Kemi groups sounded more like Inari, and some more like Skolt, due to geographic proximity). Extinct now for over 100 years, few written examples of Kemi Sami survive.","Kemi Sami language"
67,230,370,"id370","Kashubian","kachoube","casubio","Poland","POL","csb","Severely endangered",,,53000,"Władysław Lubaś: Kaschubisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 265–273.",54.2267,18.1713,,"an area northwest, west and southwest of Gdansk, mainly in Wejherowo, Lebork, Bytów (Betowo), Pock (Puck), Kartuzy, Koscierzyna, and Chojnice districts","Kashubian or Cassubian (Kashubian: kaszëbsczi jãzëk, pòmòrsczi jãzëk, kaszëbskò-słowińskô mòwa; Polish: język kaszubski, język pomorski, język kaszubsko-słowiński) is a language variety of the Lechitic group, of the Slavic languages. Although it is often considered a language in its own right, it is sometimes considered a dialect of Polish. In Poland, it has been an officially recognized ethnic-minority language.","Kashubian language"
68,1850,1474,"id1474","Vilamovian","wilamowicien","vilamoviciano","Poland","POL","wym","Severely endangered","Wilamowicean; Wymysorys",,70,"The making of a language: the case of the idiom of Wilamowice, southern Poland / by Tomasz Wicherkiewicz. Trends in Linguistics, Documentation 19; Berlin & New York: Mouton de Gruyter, 2003.",49.7909,18.762,,"the village of Wilamowice, southern Poland; an outlying dialect of German","Wymysorys (Wymysiöeryś), also known as Vilamovian or Wilamowicean, is a West Germanic microlanguage, actively used in the small town of Wilamowice, Poland (Wymysoü in Wymysorys), on the border between Silesia and Lesser Poland, near Bielsko-Biała. It is considered an endangered language. There are probably between 70 and 100 native users of Wymysorys, virtually all bilingual; the majority are elderly.","Wymysorys language"
69,2489,413,"id413","Slovincian","slovince","eslovincio","Poland","POL","csb","Extinct",,,0,"Ewa Rzetelska-Feleszko: Slowinzisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 509–512.",54.6484,17.2485,,"the parishes of Smołdzino and Gardna in Pomerania in present-day Poland; an extinct outlying dialect of Kashubian not listed separately by the SIL","Slovincian is the language formerly spoken by the Slovincians (Kashubian: Słowińcë, Polish: Słowińcy, German: Slowinzen, Lebakaschuben), a Slavic people living between lakes Gardno and Łebsko near Słupsk in Pomerania. Slovincian is classified either as a language (first by Friedrich Lorentz, 1902/3), or as a Kashubian dialect (first by Lorentz, after 1903) or variant, with Kashubian itself being classified either as a language or a Polish dialect. Slovincian and Kashubian are both classified as Pomeranian.","Slovincian language"
